city,state,count,mean_amount,mean_jobs_retained
AUSTIN,TX,42,76588.32261904761,19.61904761904762
SALT LAKE CITY,UT,21,66636.38095238095,10.666666666666666
DALLAS,TX,48,75094.485,10.458333333333334
SAINT LOUIS,MO,27,60798.886666666665,8.777777777777779
Vancouver,WA,23,71226.12739130434,7.739130434782608
PORTLAND,OR,32,55180.794375,6.78125
NEW YORK,NY,52,35335.468076923076,6.6923076923076925
BROOKLYN,NY,36,54704.07472222222,6.5
SAN ANTONIO,TX,30,61575.13966666667,6.433333333333334
LAS VEGAS,NV,37,44729.69594594595,6.27027027027027
